filename,number,start.checkin,leave.table,start.voting,end.voting,get.in.line,leave.line,begin.scanning,end.scanning
dane wi (1),1,7:06:09,7:07:16,7:07:39,7:08:58,,,7:09:04,7:09:10
dane wi (1),1,16:01:20,16:02:09,16:02:17,16:05:59,16:06:05,16:06:07,16:06:07,16:06:15
dane wi (1),1,15:00:15,,15:02:21,15:05:58,15:06:35,15:06:44,15:06:49,15:07:01
dane wi (1),2,7:10:42,7:11:11,7:11:29,7:13:12,7:13:20,,7:13:20,7:13:22
dane wi (1),2,16:09:04,16:09:58,16:10:07,16:12:15,,,16:12:18,16:12:26
dane wi (1),2,15:13:16,15:14:00,15:14:22,15:16:57,,,15:17:04,15:17:41
dane wi (1),3,7:28:24,7:28:48,7:29:14,7:31:32,,,7:31:38,7:31:48
dane wi (1),3,16:13:20,16:13:49,16:13:56,16:15:54,16:15:57,16:16:06,16:16:07,16:16:16
dane wi (1),3,15:18:00,15:18:46,15:19:14,15:21:38,,,,
dane wi (1),4,7:33:39,7:34:30,7:34:45,7:38:17,,,7:38:20,7:38:31
dane wi (1),4,16:16:25,16:17:47,16:18:06,,,,,
dane wi (1),4,15:28:56,15:29:30,15:29:43,15:32:09,,,15:32:14,15:32:29
dane wi (1),5,7:54:30,7:55:35,7:55:42,7:59:15,,,7:59:30,7:59:36
dane wi (1),5,16:30:14,16:30:48,16:31:31,16:34:01,,,16:34:16,16:34:19
dane wi (1),5,15:32:50,15:34:04,15:34:26,15:35:09,15:38:13,15:38:24,15:38:24,15:38:36
dane wi (1),6,16:34:54,16:35:32,16:36:50,16:37:44,,,16:37:53,16:38:01
dane wi (1),6,15:40:37,15:41:31,15:41:51,15:44:51,,,15:45:01,15:45:13
dane wi (1),7,16:38:11,16:38:40,16:39:01,16:41:17,,,16:41:19,16:41:24
dane wi (1),7,15:45:37,15:46:16,15:46:35,15:53:17,,,15:53:30,15:53:37
dane wi (1),8,16:42:06,16:42:31,16:42:54,16:45:00,16:45:04,16:45:07,16:45:08,16:45:15
dane wi (1),8,6:06:56,6:07:28,6:07:50,6:11:04,6:11:14,6:11:20,6:11:26,6:11:30
dane wi (1),9,16:46:48,16:47:20,16:47:42,16:50:07,16:50:10,16:50:22,16:50:23,16:50:34
dane wi (1),9,6:11:49,6:12:31,6:13:06,6:47:48,,,6:47:55,6:48:00
dane wi (1),10,16:51:40,16:52:12,16:52:30,16:53:54,,,16:53:59,16:54:08
dane wi (2),1,12:06:17,12:07:13,12:07:31,12:10:39,12:10:48,12:10:51,12:11:07,12:11:11
dane wi (2),1,7:08:48,7:10:03,7:10:34,7:14:25,,,7:14:35,7:14:42
dane wi (2),1,6:06:40,6:07:42,6:08:11,6:10:50,,,6:11:00,6:11:10
dane wi (2),1,11:00:27,11:01:20,11:01:43,11:05:12,,,11:05:37,11:05:47
dane wi (2),2,12:13:08,12:14:10,12:14:31,12:17:50,12:17:58,12:18:06,12:18:09,12:18:16
dane wi (2),2,7:15:30,7:16:18,7:16:53,7:20:13,,,7:20:20,7:20:29
dane wi (2),2,,,6:21:09,6:24:38,,,6:24:49,6:24:56
dane wi (2),2,11:08:30,11:09:09,11:09:34,11:11:59,,,11:12:29,11:12:39
dane wi (2),3,12:19:13,12:20:01,12:20:14,12:23:01,12:23:08,12:23:17,12:23:20,12:23:30
dane wi (2),3,7:21:56,7:23:09,7:23:31,7:25:40,,,7:25:50,7:26:00
dane wi (2),3,6:25:35,6:27:23,6:27:47,6:32:04,,,6:32:10,6:32:19
dane wi (2),3,11:14:16,11:15:15,11:15:49,11:18:10,,,11:18:14,11:18:23
dane wi (2),4,12:24:28,12:25:26,12:27:04,12:31:29,12:31:36,12:31:38,12:31:39,12:31:45
dane wi (2),4,7:27:04,7:28:06,7:28:34,7:31:09,,,7:31:25,7:31:42
dane wi (2),4,6:33:39,6:34:14,6:34:52,6:37:06,,,,
dane wi (2),4,11:19:33,11:20:13,11:20:31,11:22:34,,,11:23:09,11:23:18
dane wi (2),5,7:32:47,7:34:52,7:35:44,7:37:26,,,7:37:36,7:37:45
dane wi (2),5,6:38:38,6:39:30,6:39:55,6:43:08,6:43:10,,6:43:25,6:43:36
dane wi (2),5,11:24:21,11:24:55,11:25:18,11:27:36,,,11:27:55,11:28:10
dane wi (2),6,12:35:04,12:36:02,12:36:14,12:39:11,,,12:39:25,13:39:35
dane wi (2),6,7:40:03,7:41:43,7:42:20,7:42:21,,,7:42:35,7:47:44
dane wi (2),6,18:44:36,18:45:46,18:46:14,,,18:50:48,18:50:49,18:50:55
dane wi (2),6,11:29:45,11:30:25,11:30:45,11:33:19,,,11:33:32,11:33:43
dane wi (2),7,12:41:03,12:42:09,12:42:28,12:45:25,,,12:45:35,12:45:40
dane wi (2),7,7:44:30,7:49:32,7:50:07,7:52:31,,,7:52:48,7:53:24
dane wi (2),7,,7:01:14,7:01:42,7:04:56,,,7:05:13,7:05:23
dane wi (2),7,11:36:07,11:36:51,11:37:00,11:41:27,11:42:06,11:42:34,11:42:41,11:42:51
dane wi (2),8,7:54:11,7:55:17,7:56:48,8:00:13,,,8:00:25,8:50:32
dane wi (2),8,11:43:55,11:44:44,11:45:06,11:47:31,,,11:47:40,11:47:45
dane wi (2),9,12:55:46,12:55:52,12:56:09,12:58:09,,,12:58:18,12:58:26
dane wi (2),9,11:48:50,11:50:44,11:51:16,11:56:08,,,11:56:16,11:56:24
dane wi (2),10,14:09:26,14:10:37,14:10:51,14:13:03,,,14:13:37,14:13:43
dane wi (2),10,11:58:39,11:59:27,11:59:50,12:01:31,,,12:01:42,12:01:52
dane wi (2),11,14:15:37,14:17:12,14:17:21,14:19:51,,,14:20:44,14:20:53
dane wi (2),11,13:00:57,13:01:12,13:02:34,13:06:11,,,13:06:22,13:06:28
dane wi (2),12,14:24:43,14:26:22,14:26:27,14:30:43,,,14:30:55,14:31:06
dane wi (2),12,13:07:08,13:08:08,13:08:30,13:11:31,,,13:11:43,13:11:54
dane wi (2),13,14:33:34,14:34:43,14:34:53,14:38:37,,,14:38:46,14:38:50
dane wi (2),13,13:12:40,13:13:22,13:15:55,13:17:09,,,13:17:27,13:17:35
dane wi (2),14,13:18:33,13:19:26,13:19:40,13:19:44,,,13:22:02,13:22:15
dane wi (2),15,14:45:20,14:47:08,14:47:17,14:49:59,,,14:50:06,14:50:14
dane wi (2),15,13:23:07,13:24:26,13:24:46,13:31:38,,,13:32:05,13:32:15
dane wi (2),16,14:51:56,14:53:29,14:53:39,14:56:12,14:56:19,14:56:24,14:56:27,14:56:32
dane wi (2),16,13:34:43,13:35:39,13:36:00,13:36:52,,,13:39:02,13:39:18
dane wi (2),17,14:57:19,14:59:04,14:59:10,15:00:59,15:01:07,15:01:15,15:01:21,15:01:32
dane wi (2),18,13:46:01,13:47:13,13:47:43,13:49:39,,,13:49:45,13:50:00
dane wi (2),19,13:51:14,13:52:26,13:52:45,13:54:05,,,13:54:17,13:54:24
dane wi (2),20,13:54:42,13:56:22,13:56:48,13:59:55,,,14:00:04,14:00:10
dane wi (3),1,12:52:58,12:53:10,12:53:18,12:56:02,,,12:56:08,12:56:20
dane wi (3),1,9:07:03,9:07:32,9:07:51,9:10:49,9:10:50,9:10:50,9:10:55,9:11:00
dane wi (3),2,12:56:34,12:57:11,12:57:13,13:00:16,,,13:00:22,13:00:31
dane wi (3),2,9:11:34,,,,,,,
dane wi (3),3,13:01:23,13:02:26,13:02:30,13:06:20,,,13:06:24,13:06:35
dane wi (3),3,9:12:14,9:13:59,9:14:03,9:14:04,9:14:12,9:17:12,9:17:17,9:17:17
dane wi (3),4,13:07:54,13:08:42,13:08:44,13:11:14,,,13:11:21,13:12:03
dane wi (3),4,9:17:32,9:18:45,9:18:52,9:21:48,9:21:52,9:21:52,9:21:55,9:21:57
dane wi (3),5,13:14:40,13:16:23,13:16:25,13:17:55,,,13:18:00,13:18:07
dane wi (3),5,9:23:37,9:24:24,9:24:28,9:27:15,9:27:20,9:27:20,9:27:30,9:27:35
dane wi (3),6,13:26:10,13:26:51,13:27:01,13:29:33,13:29:37,13:29:40,13:29:43,13:29:53
dane wi (3),6,9:28:12,9:28:55,9:29:00,9:31:22,9:31:26,9:31:26,9:31:30,9:31:36
dane wi (3),7,13:31:24,13:32:03,13:32:06,13:34:48,13:34:51,13:35:09,13:35:11,13:35:17
dane wi (3),7,9:31:59,9:32:05,9:32:11,9:34:22,9:34:25,9:34:25,9:34:30,9:34:35
dane wi (3),8,13:39:22,13:40:36,13:40:40,13:43:20,13:43:27,13:43:37,13:43:38,13:43:52
dane wi (3),8,9:34:52,,,,,,,
dane wi (3),9,13:45:47,13:46:33,13:46:38,13:49:03,13:49:07,13:49:26,13:49:30,13:49:52
dane wi (3),9,9:37:55,9:39:17,9:39:21,9:42:40,9:42:44,9:42:44,9:42:49,9:42:52
dane wi (3),10,13:50:17,13:51:19,13:51:29,13:53:00,,,13:53:09,13:53:15
